"","random","1 yr blocking","2 yr blocking","4 yr blocking","8 yr blocking"
"E",1e-04,-0.00654,-0.01891,-0.05496,-0.01845
"RE",-9e-05,-8e-05,0,0.00062,4e-05
"R2",0.99624,0.97378,0.96646,0.96506,0.98048
"NSE",0.99802,0.98759,0.98419,0.98383,0.9823
"RMSE",0.43121,1.03851,1.1718,1.22174,1.28721
"RSR",0.04454,0.10997,0.12338,0.1268,0.13293
"PBIAS",0.00019,-0.00545,-0.02265,-0.08957,-0.0353
